day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
74,12697.715555879331,105.71143591401054,120.11676358467126,13627.479842969791,1029.7642870903887,12597.715555879402,0.0,0.2,312.13150238164235,14.890422041833517,297.24108033980883,38,38,0.3918532116272014,0.001,6292,6292,38,0.3918532116272014,8000.0,100.0,0.2,0.02,2088,0.009672075185631146
75,13061.709929650202,154.03991740221304,84.79431922535262,14013.166192307337,1051.4562626570676,12961.70992965027,0.0,0.2,385.68634933754583,21.69197556667882,363.994373770867,49,49,0.4426933789117889,0.02475108052574499,6383,6383,49,0.4426933789117889,8000.0,100.0,0.2,0.02,2129,0.009609801883523415
76,13359.569041329802,237.85208619047413,56.1675504104317,14344.142898083179,1084.5738567533049,13259.569041329874,0.0,0.2,330.97670577584176,33.117594096237326,297.85911167960444,88,88,0.3763362965481486,0.0025507787050003555,6549,6549,88,0.3763362965481486,8000.0,100.0,0.2,0.02,2171,0.010191980284835511
77,13780.707571893674,22.979300979815854,599.7009040439535,14768.50366747278,1087.7960955790336,13680.707571893747,0.0,0.2,424.36076938960105,3.2222388257287093,421.13853056387234,10,10,0.3222238825728289,0.02910677906631651,6672,6672,10,0.3222238825728289,8000.0,100.0,0.2,0.02,2214,0.009374908891031009
78,14192.141606352528,277.5720496294648,51.129577438714875,15219.249115965333,1127.1075096127379,14092.141606352594,0.0,0.2,450.7454484925529,39.311414033704295,411.4340344588486,86,86,0.45710946550818443,0.034616505773408066,6730,6730,86,0.45710946550818443,8000.0,100.0,0.2,0.02,2258,0.009326590809686026
79,14525.348597562324,428.6546195151523,33.88590239384758,15612.497016044115,1187.1484184817236,14425.348597562392,0.0,0.2,393.24790007878255,60.04090886898575,333.2069912097968,157,157,0.3824261711400297,0.015359582068741186,6864,6864,157,0.3824261711400297,8000.0,100.0,0.2,0.02,2303,0.01022958299656333
80,14930.892029176339,70.61817949690516,211.43127924772807,16028.025475654149,1197.133446477743,14830.892029176406,0.0,0.2,415.5284596100337,9.985027996019426,405.54343161401425,25,25,0.39940111984077215,0.02146067253887499,6935,6935,25,0.39940111984077215,8000.0,100.0,0.2,0.02,2349,0.009865914078844127
81,15245.178039448352,361.43927887176505,42.17908492689635,16391.411041252697,1246.233001804293,15145.178039448405,0.0,0.2,363.38556559854806,49.09955532654999,314.28601027199807,103,103,0.4766947119082499,0.001,7293,7293,103,0.4766947119082499,8000.0,100.0,0.2,0.02,2395,0.009838541075121107
82,15597.12816721033,77.3007809755651,201.77193516506136,16754.44212262066,1257.3139554102136,15497.128167210449,0.0,0.2,363.03108136796436,11.080953605920513,351.95012776204385,28,28,0.3957483430685787,0.001,7268,7268,28,0.3957483430685787,8000.0,100.0,0.2,0.02,2442,0.00939877139537327
83,16022.097456232825,35.57312452328278,450.3989365833267,17184.338057902438,1262.2406016693876,15922.09745623305,0.0,0.2,429.8959352817765,4.926646259174049,424.9692890226024,12,12,0.4105538549312093,0.017614989823956408,7497,7497,12,0.4105538549312093,8000.0,100.0,0.2,0.02,2490,0.008880347827260285
84,16418.799049272235,24.560075934401706,668.5158096874673,17584.564689983003,1265.765640710629,16318.799049272373,0.0,0.2,400.22663208056474,3.525039041241371,396.70159303932337,8,8,0.44062988015519006,0.007682843486116164,7462,7462,8,0.44062988015519006,8000.0,100.0,0.2,0.02,2539,0.008442824768058873
85,16849.244731075698,60.58682354966169,278.10081043883645,18023.34291647798,1274.0981854021447,16749.244731075836,0.0,0.2,438.7782264949783,8.33254469151575,430.44568180346255,17,17,0.4901496877362265,0.013375333899097532,7751,7751,17,0.4901496877362265,8000.0,100.0,0.2,0.02,2589,0.00808181885913894
86,17233.840808803034,151.28428072749585,113.9169299409624,18429.21073043967,1295.3699216364994,17133.840808803172,0.0,0.2,405.86781396168954,21.27173623435465,384.5960777273349,51,51,0.41709286734029455,0.003564592753537366,7875,7875,51,0.41709286734029455,8000.0,100.0,0.2,0.02,2640,0.007991814647119863
